18:05:37.304 INFO  manager.ApplicationManager Testing on Chrome Driver
18:05:39.556 INFO  manager.MyListener Start searching element by By.cssSelector: a[href='/login']
18:05:39.589 INFO  manager.MyListener Finish searching element by By.cssSelector: a[href='/login']
18:05:40.957 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> css selector: a[href='/login']]
18:05:40.957 INFO  manager.MyListener Start searching element by By.id: user
18:05:40.981 INFO  manager.MyListener Finish searching element by By.id: user
18:05:41.047 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: user]
18:05:41.156 INFO  manager.MyListener Start searching element by By.id: login
18:05:41.176 INFO  manager.MyListener Finish searching element by By.id: login
18:05:41.232 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: login]
18:05:43.246 INFO  manager.MyListener Start searching element by By.id: password
18:05:43.277 INFO  manager.MyListener Finish searching element by By.id: password
18:05:44.275 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: password]
18:05:44.371 INFO  manager.MyListener Start searching element by By.id: login
18:05:44.374 INFO  manager.MyListener Finish searching element by By.id: login
18:05:44.417 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: login]
18:05:46.419 INFO  manager.MyListener Start searching element by By.cssSelector: p.error-message
18:05:46.451 INFO  manager.MyListener Finish searching element by By.cssSelector: p.error-message
18:05:48.475 INFO  manager.MyListener Start searching element by By.className: OUdAuicP657Tka
18:05:58.519 INFO  manager.MyListener Finish searching element by By.className: OUdAuicP657Tka
18:05:59.447 INFO  manager.MyListener Start searching element by By.cssSelector: a[href='/login']
18:05:59.479 INFO  manager.MyListener Finish searching element by By.cssSelector: a[href='/login']
18:06:00.542 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> css selector: a[href='/login']]
18:06:00.542 INFO  manager.MyListener Start searching element by By.id: user
18:06:00.560 INFO  manager.MyListener Finish searching element by By.id: user
18:06:00.620 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: user]
18:06:00.698 INFO  manager.MyListener Start searching element by By.id: login
18:06:00.723 INFO  manager.MyListener Finish searching element by By.id: login
18:06:00.776 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: login]
18:06:02.788 INFO  manager.MyListener Start searching element by By.id: password
18:06:03.573 INFO  manager.MyListener Finish searching element by By.id: password
18:06:03.625 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: password]
18:06:03.728 INFO  manager.MyListener Start searching element by By.id: login-submit
18:06:03.758 INFO  manager.MyListener Finish searching element by By.id: login-submit
18:06:03.835 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: login-submit]
18:06:07.845 INFO  manager.MyListener Start searching element by By.className: OUdAuicP657Tka
18:06:17.911 INFO  manager.MyListener Finish searching element by By.className: OUdAuicP657Tka
18:06:17.911 INFO  manager.MyListener Start searching element by By.cssSelector: span[class='css-xal9c7'] span
18:06:17.936 INFO  manager.MyListener Finish searching element by By.cssSelector: span[class='css-xal9c7'] span
18:06:19.148 INFO  TestBase Login Positive Test started
18:06:19.228 INFO  manager.MyListener Start searching element by By.cssSelector: a[href='/login']
18:06:19.278 INFO  manager.MyListener Finish searching element by By.cssSelector: a[href='/login']
18:06:20.159 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> css selector: a[href='/login']]
18:06:20.159 INFO  manager.MyListener Start searching element by By.id: user
18:06:20.187 INFO  manager.MyListener Finish searching element by By.id: user
18:06:20.233 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: user]
18:06:20.312 INFO  manager.MyListener Start searching element by By.id: login
18:06:20.326 INFO  manager.MyListener Finish searching element by By.id: login
18:06:20.372 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: login]
18:06:22.383 INFO  manager.MyListener Start searching element by By.id: password
18:06:22.420 INFO  manager.MyListener Finish searching element by By.id: password
18:06:22.477 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: password]
18:06:22.584 INFO  manager.MyListener Start searching element by By.id: login-submit
18:06:22.612 INFO  manager.MyListener Finish searching element by By.id: login-submit
18:06:22.665 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: login-submit]
18:06:24.671 INFO  manager.MyListener Start searching element by By.className: OUdAuicP657Tka
18:06:27.396 INFO  manager.MyListener Finish searching element by By.className: OUdAuicP657Tka
18:06:27.396 INFO  manager.MyListener Start searching element by By.cssSelector: button[data-testid='header-member-menu-button']
18:06:27.715 INFO  manager.MyListener Finish searching element by By.cssSelector: button[data-testid='header-member-menu-button']
18:06:27.876 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> css selector: button[data-testid='header-member-menu-button']]
18:06:27.876 INFO  manager.MyListener Start searching element by By.cssSelector: button[data-testid='account-menu-logout']
18:06:27.970 INFO  manager.MyListener Finish searching element by By.cssSelector: button[data-testid='account-menu-logout']
18:06:28.951 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> css selector: button[data-testid='account-menu-logout']]
18:06:28.951 INFO  manager.MyListener Start searching element by By.id: logout-submit
18:06:28.970 INFO  manager.MyListener Finish searching element by By.id: logout-submit
18:06:30.237 INFO  manager.MyListener After clicking on [[ChromeDriver: chrome on WINDOWS (8b19ee328e96110d14a7818f222b7ded)] -> id: logout-submit]
18:06:32.248 INFO  TestBase Login Positive Test finished
